case_id,category,osi_layer,severity,ai_confidence,human_verdict,agreement
C01,VLAN,Layer 2,Medium,,,
C02,VLAN,Layer 2,High,,,
C03,VLAN,Layer 1,Low,,,
C04,VLAN,Layer 2,High,,,
C05,Gateway,Layer 3,High,,,
C06,Gateway,Layer 1,High,,,
C07,Gateway,Layer 3,Medium,,,
C08,Gateway,Layer 3,Medium,,,
C09,DHCP,Layer 1/2,High,,,
C10,DHCP,Layer 3,Medium,,,
C11,DHCP,Layer 3,Medium,,,
C12,DHCP,Layer 3,High,,,
C13,DNS,Layer 7,Medium,,,
C14,DNS,Layer 7,Low,,,
C15,DNS,Layer 7,Medium,,,
C16,Routing,Layer 3,High,,,
C17,Routing,Layer 3,High,,,
C18,Routing,Layer 3,Medium,,,
C19,Routing,Layer 3,Medium,,,
C20,ACL,Layer 3/4,High,,,
C21,ACL,Layer 4,Medium,,,
C22,ACL,Layer 4,Medium,,,
C23,ACL,Layer 3,Medium,,,
C24,NAT,Layer 3,High,,,
C25,NAT,Layer 3,Medium,,,
C26,NAT,Layer 3/4,High,,,
C27,NAT,Layer 3,High,,,
C28,Wireless,Layer 3 (Security),High,,,
C29,Wireless,Layer 3,Medium,,,
C30,Wireless,Layer 2,Low,,,
